tenure,deposit,turnover,withdrawal,deposit_next
10,762.27,1677.18,1476.24,2815.66
3829,4347.15,41290.29,0,0
5141,3168.55,13524.19,3050.62,949.48
1280,952.96,2965.66,346.37,0
2463,28976.53,173327.48,29158.78,134.32
4600,337.4,2930.65,0,0
3362,1673.8,8605.21,1482.37,1782.6
2196,5607.54,18169.84,5092.37,45.8
470,2453.78,19358.57,1713.5,0
5457,82769.25,718470.11,60542.49,348.49
927,5968.31,28701.01,5510.02,176.31
148,350.77,527.16,491.62,115.56
1441,8555.1,37085.46,7171.73,395.59
187,4310.34,18621.07,8837.27,391.72
129,1958.94,13920.8,898.49,0
1757,757.77,2387.87,937.84,0
4009,4582.79,27954.33,4373.57,797
1952,1757.85,12955.92,1605.43,0
6482,15134.81,22138.59,7083.58,0
5,2766.13,1380.39,0,0
85,156.19,615.25,88.8,516.96
2631,45888.62,333342.32,39289.78,209.39
3198,5366.15,53025.77,4858,0
4206,1435.07,6286.44,183.01,0
635,616.06,1898.26,0,0
954,2905.98,6202.8,1675.64,1064.26
1268,19194.76,165890.53,12375.51,1058.21
6358,5701.82,29867.65,0,2645.28
134,2919.07,21836.06,1011.04,383.9
455,475.42,3731.77,179.69,0
5143,3135.28,14383.4,1134.17,0
4486,51156.22,406998.82,27076.45,461.05
0,1095.67,13835.61,0,2431.63
2729,30219.28,116244.74,21353.06,99.6
4333,13506.35,56247.62,5338.66,1157.83
1580,22275.85,123290.53,8704.26,0
17,433.43,1509.78,362.25,528.62
752,3030.06,6236.15,5435.98,723.34
316,22566.43,238333.87,8817.4,1184.75
4666,7570.11,37923.4,3305.93,276.07
5214,82971.51,223713.24,70576.53,1889.5
3028,619.66,12934.9,1207.11,0
1219,19590.07,155005.66,13054.46,232.41
1378,705.84,1927.39,0,0
1456,279.88,917.16,0,116.01
4316,3663.65,52020.49,2511.07,94.62
932,3505.34,8442.58,4781.15,0
1743,1927.05,9089.23,3203.1,0
579,10055.34,73630.19,5305.91,3523.99
940,677.94,4343.92,657.15,0
1847,94,1871.27,374.05,0
6609,2515.43,7519.5,1026.75,45.82
7220,29660.99,207996.06,16933.01,2210.56
7731,31962.92,81981.43,32964.9,261.17
3695,32262.66,193988,25600.49,2615.77
7,1868.64,9746.96,1613.54,0
2531,293.61,401.2,162.63,93.7
4676,593616.7,6067497.01,346528.71,2137.61
22,696.54,4262.1,0,0
2999,708.02,3972.88,541.78,204.45
4846,2494.11,7695.99,518.7,0
4323,44085.12,700531.85,9628.6,220.45
4817,157441.43,896956.45,140901.87,7075.83
3396,16973.76,77314.94,13324.15,3537.53
769,818.21,4775.83,674.79,71.23
260,5822.28,36114.76,12137.19,934
7183,13575.37,32537.74,4831.97,0
940,416.55,1435.93,381.83,96.05
2673,165.55,872.23,138.18,96.19
6292,187648.6,477730.02,137421.31,162.88
5272,5378.44,28059.45,3173.5,192
2142,46598.16,122128.7,37305.61,1276.04
4542,874.71,3493.41,880.99,0
372,879.11,3159.79,590.04,317.95
2544,1543.65,6463.88,1144.82,0
1426,231.27,527.06,164.55,0
3021,25322.18,250190.24,17103.09,192.91
2977,39832.63,256749.93,34039.45,511.85
587,1463.25,6004.45,1484.05,1892.45
582,33542.8,87986.99,29274.86,4504.77
5241,78162.56,440886.77,75464.51,464.02
6631,30798.57,123871.46,26044.65,1342.81
5304,10695.62,96713.06,10947.02,0
445,978.15,2706.11,2177.88,473.17
27,3257.03,22194.44,5060.26,3199.1
2663,439.15,1066.51,0,0
6226,33639.95,134123.63,21573.01,154.27
2410,2034.18,2175.67,474.65,0
798,373.92,826.21,88.96,0
2604,3030.23,18132.97,0,816.81
2303,72722.3,1052331.64,3909.89,678.82
3525,302.07,995.96,359.03,23.12
801,552.4,2945.13,288.47,46.99
1378,40683.24,125846.97,36934.69,874.75
163,428.24,1422.7,343.64,0
107,2493.82,27088.65,2682.82,1269.04
823,429.65,2667.63,224.92,288.63
1022,7374.84,60367.32,5968.34,0
56,239.71,774.48,0,169.09
5221,4179.5,28911.54,3448.4,0
1446,2181.99,5039.98,888.48,46.85
1190,3065.26,38460.69,1847.27,228.44
3359,62448.57,408749.48,49944.14,0
178,122.75,1241.79,0,0
15,71.64,107.68,47.94,120.08
380,2714.17,4734.41,5912.91,0
616,18341.53,142206.9,15657.5,1023.94
4028,257.45,2676.9,399.72,0
5309,5261.33,25671.4,1983.88,0
536,562.04,2874.19,400.9,152.31
971,10706.24,57260.92,11941.44,139.21
7134,569075.59,3458440.38,536269.79,2491.3
2088,2942.42,21965.19,1190.62,142.58
0,46.52,88.84,0,70.34
3598,4173.51,15986.53,1433.05,0
2261,2114.49,5737.69,1545.4,0
170,332.35,2048.66,164.3,665.55
6599,996723.82,9959795.6,671927.26,0
4795,12220.05,281947.49,1232.24,95.62
4479,174692.11,1195845.15,125268.2,989.98
4104,322.77,1272.51,111.34,44.76
2587,66762.03,207972.41,50404.28,4092.19
183,1910.25,6080.33,369.04,1323.7
348,471.97,1293.29,0,274.34
3215,5394.46,51526.82,3151.73,45.9
100,184.28,965.39,0,34.85
0,117.27,3033.82,0,330.04
224,1007.89,3906.19,2953.2,289.26
616,161.16,455.13,0,0
908,5853.12,8202.53,7819.85,1843.21
1290,9684.65,53632.47,7965.68,468.78
3352,3350.84,13442.8,1325.06,241.86
672,3544.7,48798.66,1935.02,965.97
1609,9666.39,57118.02,9218.61,2164.33
370,2403.51,7670.03,2377.66,639.93
321,611.01,2814.81,183.21,46.99
1555,1871.34,4261.3,939.64,1213.25
151,3619.45,14538.29,2570.47,0
1974,33034.07,186341.03,31923.24,2159.18
815,8131.6,57810.72,5687.03,45.89
772,1729.04,7754.45,640.19,458.19
781,3943.8,75101.51,2763.82,255.83
4082,245.15,4760.14,121.06,290.3
4043,31292.98,303713.74,23651.66,1160.53
71,262.12,402,0,23.73
348,821.05,2603.69,603.62,250.39
1368,603.02,1352.97,157.99,24.11
857,7735.9,29994.7,2801.17,469.02
1456,1335.84,4715.38,1466.78,139.96
4978,478.17,2534.98,246.15,649.16
3398,15065.71,74031.45,2879.72,989.55
725,3805.85,15192.13,6901.23,0
5292,2420.46,12296.89,1917.97,166
1229,1066.93,5286.54,780.93,114.28
2877,1623.77,4636.63,1346.86,1691.92
518,390.05,1089.67,210.94,35.93
15,230.64,579.43,369.38,229.88
2,46.74,46.74,0,68.73
1453,20243.13,90022.41,17114.31,0
647,5784.75,14104.89,4277.54,70.64
1835,18023.59,99550.16,12829.34,242.21
2607,38916.55,172066.12,16882.77,1658.5
4250,125978.18,935417.99,111233.94,19569.79
4304,3644.34,17344.65,0,69.25
445,334.91,1033.35,185.66,0
1560,8389.06,19427.67,9950.12,2053.14
12,354.56,949.66,198.61,201.73
3067,58131.36,253465.17,40200.78,2174.53
1996,223.2,360.5,364.04,35.34
6645,60945.63,188934.17,37521.17,1474.44
1227,106109.34,396404.36,96277.65,2180.01
0,44.59,0,44.59,651.71
32,365.2,650.29,82.46,0
2132,2479.91,18372.05,2423.64,118.48
95,11445.13,59299.61,11457.36,0
110,1351.35,3356.24,0,0
1414,4073.76,16922.53,4364.2,0
1317,1122.04,3389.13,144.21,69.37
1086,4145.6,12604.97,3046.44,3027.07
0,23.45,0,226.1,261.91
905,68.2,2124.97,0,0
4433,999.54,6073.59,1238.88,0
346,12688.49,84666.16,10150.84,970.28
309,814.72,6256.4,844.43,535.54
1538,9451.58,31043.72,8629.41,2079.78
1499,712.52,712.52,0,5299.3
2,116.03,680.17,0,0
1974,9975.66,33397.36,5346.46,0
7843,9862.74,13419.05,2641.33,0
1317,660.13,806.83,0,229.09
1178,1323.25,9707.72,459.13,22.65
3868,7810.45,39888.54,3841.06,35.11
2631,6469.17,20169.93,4563.05,0
6623,12486.76,48958.39,12888.76,44.48
1317,8962.29,51360.04,6952.63,116.21
854,490.76,7000.81,194.85,0
10,698.99,1996.18,0,2177.56
905,16181.56,130379.29,11445.78,2976.49
1572,3186.85,33192.09,9650.01,185.5
1198,2145.74,4706.22,239.67,0
3520,22822.42,116032.97,15929.72,428.24
3130,2432.98,13137.91,2139.21,0
0,465.49,4643.5,0,1858.8
5749,265071.14,1708446.22,226001.97,449.15
363,890.87,3979.17,676.98,34.54
100,310.71,1111.19,461.38,170.42
1122,1239.17,7733.6,1875.64,0
4992,1141.4,6008.18,1488.22,69.93
3274,239.32,1988.05,237.16,0
27,1846.66,9873.63,0,1204.02
623,43180.26,358748.22,425248.2,31145.49
850,440.33,5778.99,0,119.45
1648,1440.04,5693.64,3024.84,212.59
475,11845.27,35077.43,4733.85,0
2819,318.52,318.49,0,23.62
24,460.6,1426.14,0,0
0,451.09,1277.31,0,1997.19
3235,4034.85,13665.2,1210.91,777.14
2933,1929.41,4025.46,473.05,255.51
3870,9458.45,51003.98,12182.01,224.17
6368,98762.45,420360.58,86384.53,1634.98
852,894.31,1942.18,0,0
1246,7225.81,34418.44,2882.78,407.85
630,135.77,510.29,0,42.56
1952,2573.27,9454.48,3176.01,1208.31
1110,5087.29,34868.7,5019.97,0
2848,287.11,783.94,188.72,0
1212,2526.06,8949.41,1180.75,84.88
6745,62813.7,211835.11,70768.34,484.09
730,12015.13,54260.16,9834.89,0
1689,306.31,2046.26,154.01,445.32
1716,1741.88,4358.18,1295.06,209.11
3388,17865.12,129302.2,16157.42,986.85
2008,944.89,3400.37,0,0
2429,103701.12,621171.04,89746.65,2281.31
1219,852.78,6648.9,732.03,0
207,256.39,2956.45,0,114.77
1054,3150.68,8777.09,3148.15,112.24
2653,212.26,768.7,0,0
1429,2468.63,8687.71,1051.49,0
543,1599.08,14412.14,1367.32,114.31
10,175.82,1384.25,0,189.15
297,6507.46,29432.7,6043.94,479.92
4866,23842.73,103745.95,12692.42,3381.83
1833,47833.47,213174.81,36193.16,935.05
3710,34240.3,197554.71,19973.01,44.67
2305,1229.14,11909.52,1375.87,35.52
1684,261.24,2060.69,0,241.29
3912,11993.44,55694.93,5729.98,0
961,1395.03,5860.74,1185.56,54.46
5180,18713.57,136221.6,12238.27,321.74
2463,875.65,5773.84,1384.76,0
669,16464.46,56810.07,15756.9,1609.28
2948,4616.24,21484.49,4056.53,1387.71
3308,6077.34,11616.94,2692.99,467.56
2607,13137.57,42775.37,11979.55,93.22
2629,7999.4,69277.12,5086.89,795.5
1558,1838.12,13193.94,1250.96,300.57
3822,7235.78,79755.54,4938.96,2353.39
17,1272.46,10988.88,2521.45,71.37
901,553.16,1765.36,269.6,0
1166,7109.44,55641.29,4916.75,209.57
2789,9543.42,39800.73,9842.97,0
12,704.27,692.58,0,1959.75
1916,156085.28,433163.26,152265.61,7056.7
4523,764.4,764.38,0,0
3875,1786.99,7359.73,961.94,178.66
6063,11275.47,21265.79,12100.71,0
3824,5508.44,33275.16,4064.98,0
4342,6369.26,34910.9,3446.69,333.68
4527,27363.42,122849.38,15585.52,94.23
380,1876.82,31050.61,1481.04,409.63
7395,62799.75,899026.13,26607,1130.02
6740,10316.45,77677.48,6607.39,2074.52
6158,1186.77,15351.28,0,466.32
124,2060.12,10054,2984.71,2413.3
538,27511.23,101226.12,23199.66,2454.02
173,10520.88,81777.84,8759.46,330.8
3116,2780.73,3395.14,2241.18,229.28
1565,27703.18,148813.65,20326.36,1646.74
1774,176370.24,1147468.2,138713.45,11028.09
3172,7877.42,37022.89,7197.47,1671.98
1271,16248.29,213377.89,8094.44,1829.79
684,1011.4,8109.7,206.78,0
1044,46044.02,431778.19,22665.22,4142.39
112,347.55,977.08,0,374.79
0,705.26,2857.23,0,116.88
4727,1273.15,7073.23,1853.84,72.02
643,1164.43,9403.65,440.83,23.7
684,34450.49,167551.2,9322.09,222.93
2524,4499.51,46146.19,9143.84,0
1658,43514.98,165562.62,25457.35,1477.08
923,452.62,2378.07,2704.71,277.67
886,4760.78,25609.38,2220.26,238.31
15,301.99,2650.46,232.43,587.62
119,253.09,1294.56,320.59,159.18
1366,7483.08,20135.75,4592.63,753.57
3498,734.8,2453.48,0,232.44
3987,19241.27,138821.02,7223.01,0
